facility_key,facility,region
khubetsoana,Khubetsoana,
domiciliary,Domiciliary,maseru
mabote,Mabote,maseru
qoaling,Qoaling,maseru
loretto,Loretto,maseru
thababosiu,Thaba Bosiu,maseru
ldf,LDF,maseru
sda,SDA,maseru
likotsi,Likotsi,maseru
semonkong,Semonkong,maseru
haseng,Ha Seng,maseru
st-leonard,St. Leonard,maseru
matukeng,Matukeng,maseru
mohale,Mohale,maseru
likalaneng,Likalaneng,maseru
paki,Paki,maseru
thamae,Thamae,maseru
st-leo,St. Leo,maseru
masianokeng,Masianokeng,maseru
leretto,Leretto,maseru
khubetsoana,Khubetsoana,maseru
ribaneng,Ribaneng,morija
masemouse,Masemouse,morija
motsekuoa,Motsekuoa,morija
emmause,Emmause,morija
matelile,Matelile,morija
malea-lea,Malea - lea,morija
matsieng,Matsieng,morija
kolo,Kolo,morija
st-peter,St. Peter,morija
st-banarbas,St. Banarbas,morija
mofoka,Mofoka,morija
pshatlella,Pshatlella,morija
st-andrews,St. Andrews,morija
kena,Kena,morija
st-rodrique,St. Rodrique,morija
malea-lea,Malea- lea,morija
fatima,Fatima,roma
tlali,Tlali,roma
maseru,Maseru,roma
nazareth,Nazareth,roma
korokoro,Korokoro,roma
st-benedict,St. Benedict,roma
st-benard,St. Benard,roma
holyfamily,Holy Family,bereahospital
lesothocorrectionalservice,Lesotho Correctional service,bereahospital
st-david,St. David,bereahospital
littleflower,Little Flower,bereahospital
bethany,Bethany,bereahospital
goodshaphard,Good Shaphard,bereahospital
paballong,Paballong,bereahospital
pilot,Pilot,bereahospital
st-magdalene,St. Magdalene,bereahospital
koali,Koali,bereahospital
mahlatsa,Mahlatsa,bereahospital
fobane,Fobane,berea-maluti
immaculate,Immaculate,berea-maluti
kolojane,Kolojane,berea-maluti
st-theresa,St.Theresa,berea-maluti
sebidia,Sebidia,berea-maluti
sion,Sion,berea-maluti
mapheleng,Mapheleng,berea-maluti
st-theresa,St. Theresa,berea-maluti
sebedia,Sebedia,berea-maluti
mootsinyana,Mootsinyana,mohaleshoek
morifi,Morifi,mohaleshoek
tsepo,Tsepo,mohaleshoek
